building_type;building_level;cost_holz;cost_quartz;cost_kristall;cost_wein;cost_schwefel
7;27;423426;214548;0;0;0
7;28;510863;259858;0;0;0
7;29;615884;314326;0;0;0
7;30;742005;379784;0;0;0
7;31;893446;458429;0;0;0
7;32;1075271;552900;0;0;0
7;33;1293557;666361;0;0;0
7;34;1555596;802610;0;0;0
7;35;1870139;966205;0;0;0
7;36;2247687;1162614;0;0;0
7;37;2700840;1398401;0;0;0
7;38;3244720;1681442;0;0;0
7;39;3897472;2021187;0;0;0
7;40;4680870;2428977;0;0;0
8;1;114;0;0;0;0
8;2;475;203;0;0;0
8;3;1132;719;0;0;0
8;4;2144;1611;0;0;0
8;5;3583;2955;0;0;0
8;6;5534;4840;0;0;0
8;7;8099;7375;0;0;0
8;8;11401;10690;0;0;0
8;9;15587;14941;0;0;0
8;10;20834;20315;0;0;0
8;11;27355;27036;0;0;0
8;12;35404;35374;0;0;0
8;13;45286;45653;0;0;0
8;14;57369;58261;0;0;0
8;15;72093;73663;0;0;0
8;16;89985;92418;0;0;0
8;17;111680;115197;0;0;0
8;18;137938;142804;0;0;0
8;19;169671;176206;0;0;0
8;20;207975;216561;0;0;0
8;21;254164;265260;0;0;0
8;22;309814;323971;0;0;0
8;23;376818;394697;0;0;0
8;24;457447;479841;0;0;0
8;25;554426;582287;0;0;0
8;26;671025;705495;0;0;0
8;27;811168;853617;0;0;0
8;28;979563;1031636;0;0;0
8;29;1181861;1245532;0;0;0
8;30;1424843;1502480;0;0;0
8;31;1716645;1811090;0;0;0
8;32;2067032;2181695;0;0;0
8;33;2487720;2626693;0;0;0
8;34;2992770;3160964;0;0;0
8;35;3599054;3802362;0;0;0
8;36;4326819;4572312;0;0;0
8;37;5200361;5496525;0;0;0
8;38;6248835;6605854;0;0;0
8;39;7507228;7937321;0;0;0
8;40;9017523;9535354;0;0;0
8;41;10830101;11453267;0;0;0
8;42;13005419;13755035;0;0;0
8;43;15616024;16517429;0;0;0
8;44;18748974;19832575;0;0;0
8;45;22508738;23811023;0;0;0
8;46;27020679;28585434;0;0;0
8;47;32435233;34315000;0;0;0
8;48;38932921;41190751;0;0;0
9;1;101;0;0;0;0
9;2;323;0;0;0;0
9;3;690;0;0;0;0
9;4;1231;94;0;0;0
9;5;1981;216;0;0;0
9;6;2982;374;0;0;0
9;7;4284;580;0;0;0
9;8;5947;847;0;0;0
9;9;8044;1195;0;0;0
9;10;10661;1647;0;0;0
9;11;13902;2234;0;0;0
9;12;17892;2998;0;0;0
9;13;22780;3991;0;0;0
9;14;28747;5281;0;0;0
9;15;36008;6958;0;0;0
9;16;44822;9139;0;0;0
9;17;55500;11974;0;0;0
9;18;68414;15659;0;0;0
9;19;84012;20450;0;0;0
9;20;102830;26678;0;0;0
9;21;125513;34775;0;0;0
9;22;152833;45301;0;0;0
9;23;185718;58985;0;0;0
9;24;225280;76774;0;0;0
9;25;272856;99899;0;0;0
9;26;330048;129962;0;0;0
9;27;398779;169044;0;0;0
9;28;481357;219850;0;0;0
9;29;580551;285898;0;0;0
9;30;699685;371760;0;0;0
9;31;842746;483381;0;0;0
9;32;1014520;628488;0;0;0
9;33;1220750;817128;0;0;0
9;34;1468327;1062360;0;0;0
9;35;1765520;1381161;0;0;0
9;36;2122252;1795602;0;0;0
9;37;2550431;2334376;0;0;0
9;38;3064347;3034782;0;0;0
9;39;3681147;3945310;0;0;0
9;40;4421408;5128996;0;0;0
9;41;5309822;6667788;0;0;0
9;42;6376019;8668217;0;0;0
9;43;7655557;11268775;0;0;0
9;44;9191103;14649501;0;0;0
9;45;11033859;19044444;0;0;0
9;46;13245267;24757871;0;0;0
9;47;15899057;32185325;0;0;0
9;48;19083706;41841016;0;0;0
10;1;560;280;0;0;0
10;2;1995;1470;0;0;0
10;3;4743;4043;0;0;0
10;4;9459;8719;0;0;0
10;5;17128;16590;0;0;0
10;6;29227;29319;0;0;0
10;7;47971;49431;0;0;0
10;8;76681;80766;0;0;0
10;9;120342;129160;0;0;0
10;10;186428;203483;0;0;0
10;11;286152;317219;0;0;0
10;12;436333;490862;0;0;0
10;13;662199;755563;0;0;0
10;14;1001593;1158673;0;0;0
10;15;1511279;1772165;0;0;0
10;16;2276403;2705437;0;0;0
10;17;3424684;4124775;0;0;0
10;18;5147701;6282933;0;0;0
10;19;7732822;9564098;0;0;0
10;20;11611098;14552234;0;0;0
10;21;17429107;22134965;0;0;0
10;22;26156716;33661480;0;0;0
10;23;39248724;51182547;0;0;0
10;24;58887332;77815333;0;0;0
11;1;712;0;0;0;0
11;2;6536;1434;0;0;0
11;3;22584;5980;0;0;3089
11;4;59080;16750;0;10898;13390
11;5;136472;39968;21188;33008;38115
11;6;295656;88082;63588;77542;91688
11;7;618424;185988;148412;166924;202957
11;8;1268360;383478;318084;346002;429618
11;9;2572632;780136;657452;704472;887063
11;10;5185576;1575130;1336212;1421726;1806076
11;11;9929094;3166796;2693756;2856548;3648225
12;1;242;155;0;0;0
12;2;657;497;0;0;0
12;3;1280;1068;0;0;0
12;4;2153;1918;0;0;0
12;5;3326;3108;0;0;0
12;6;4858;4714;0;0;0
12;7;6822;6826;0;0;0
12;8;9304;9556;0;0;0
12;9;12407;13040;0;0;0
12;10;16256;17444;0;0;0
12;11;20999;22971;0;0;0
12;12;26816;29867;0;0;0
12;13;33921;38433;0;0;0
12;14;42572;49037;0;0;0
12;15;53079;62127;0;0;0
12;16;65812;78250;0;0;0
12;17;81216;98074;0;0;0
12;18;99826;122413;0;0;0
12;19;122283;152259;0;0;0
12;20;149357;188825;0;0;0
12;21;181971;233589;0;0;0
12;22;221232;288354;0;0;0
12;23;268471;355321;0;0;0
12;24;325282;437174;0;0;0
12;25;393581;537188;0;0;0
12;26;475665;659358;0;0;0
12;27;574290;808559;0;0;0
12;28;692765;990737;0;0;0
12;29;835060;1213148;0;0;0
12;30;1005939;1484643;0;0;0
12;31;1211119;1816020;0;0;0
12;32;1457460;2220453;0;0;0
13;1;48;0;0;0;0
13;2;221;0;0;0;0
13;3;567;0;0;0;0
13;4;1148;0;0;0;0
13;5;2044;540;0;0;0
13;6;3358;1332;0;0;0
13;7;5221;2455;0;0;0
13;8;7801;4010;0;0;0
13;9;11310;6125;0;0;0
13;10;16016;8962;0;0;0
13;11;22257;12724;0;0;0
13;12;30460;17669;0;0;0
13;13;41159;24119;0;0;0
13;14;55025;32478;0;0;0
13;15;72897;43252;0;0;0
13;16;95823;57072;0;0;0
13;17;125109;74726;0;0;0
13;18;162382;97195;0;0;0
13;19;209665;125698;0;0;0
13;20;269472;161750;0;0;0
13;21;344920;207232;0;0;0
13;22;439875;264472;0;0;0
13;23;559120;336355;0;0;0
13;24;708574;426448;0;0;0
13;25;895551;539161;0;0;0
13;26;1129081;679937;0;0;0
13;27;1420307;855493;0;0;0
13;28;1782965;1074109;0;0;0
13;29;2233980;1345988;0;0;0
13;30;2794188;1683691;0;0;0
13;31;3489226;2102671;0;0;0
13;32;4350617;2621932;0;0;0
15;1;220;95;0;0;0
15;2;603;262;0;0;0
15;3;1172;513;0;0;0
15;4;1953;862;0;0;0
15;5;2976;1323;0;0;0
15;6;4275;1915;0;0;0
15;7;5888;2659;0;0;0
15;8;7860;3579;0;0;0
15;9;10240;4704;0;0;0
15;10;13086;6066;0;0;0
15;11;16463;7703;0;0;0
15;12;20445;9659;0;0;0
15;13;25117;11985;0;0;0
15;14;30575;14740;0;0;0
15;15;36930;17993;0;0;0
15;16;44307;21824;0;0;0
15;17;52849;26325;0;0;0
15;18;62719;31603;0;0;0
15;19;74104;37783;0;0;0
15;20;87215;45009;0;0;0
15;21;102294;53448;0;0;0
15;22;119616;63295;0;0;0
15;23;139496;74774;0;0;0
15;24;162292;88147;0;0;0
15;25;188411;103717;0;0;0
15;26;218320;121835;0;0;0
15;27;252548;142909;0;0;0
15;28;291701;167412;0;0;0
15;29;336467;195893;0;0;0
15;30;387633;228988;0;0;0
15;31;446095;267435;0;0;0
15;32;512874;312091;0;0;0
16;1;113;0;0;0;0
16;2;361;0;0;0;0
16;3;763;0;0;0;0
16;4;1341;129;0;0;0
16;5;2120;326;0;0;0
16;6;3127;601;0;0;0
16;7;4394;967;0;0;0
16;8;5958;1438;0;0;0
16;9;7861;2031;0;0;0
16;10;10149;2766;0;0;0
16;11;12877;3666;0;0;0
16;12;16107;4756;0;0;0
16;13;19908;6068;0;0;0
16;14;24361;7637;0;0;0
16;15;29556;9503;0;0;0
16;16;35598;11715;0;0;0
16;17;42606;14328;0;0;0
16;18;50714;17406;0;0;0
16;19;60077;21023;0;0;0
16;20;70870;25266;0;0;0
16;21;83293;30234;0;0;0
16;22;97575;36044;0;0;0
16;23;113976;42831;0;0;0
16;24;132792;50750;0;0;0
16;25;154362;59983;0;0;0
16;26;179071;70741;0;0;0
16;27;207359;83267;0;0;0
16;28;239727;97844;0;0;0
16;29;276746;114800;0;0;0
16;30;319067;134516;0;0;0
16;31;367432;157433;0;0;0
16;32;422687;184064;0;0;0
17;1;712;0;0;0;0
17;2;6536;1434;0;0;0
17;3;22584;5980;0;0;3089
17;4;59080;16750;0;10898;13390
17;5;136472;39968;21188;33008;38115
17;6;295656;88082;63588;77542;91688
17;7;618424;185988;148412;166924;202957
17;8;1268360;383478;318084;346002;429618
17;9;2572632;780136;657452;704472;887063
17;10;5185576;1575130;1336212;1421726;1806076
17;11;9929094;3166796;2693756;2856548;3648225
18;1;250;0;0;0;0
18;2;680;104;0;0;0
18;3;1344;341;0;0;0
18;4;2312;751;0;0;0
18;5;3676;1386;0;0;0
18;6;5554;2314;0;0;0
18;7;8100;3623;0;0;0
18;8;11515;5426;0;0;0
18;9;16059;7872;0;0;0
18;10;22072;11154;0;0;0
18;11;29994;15522;0;0;0
18;12;40397;21303;0;0;0
18;13;54026;28920;0;0;0
18;14;71849;38924;0;0;0
18;15;95123;52032;0;0;0
18;16;125485;69174;0;0;0
18;17;165060;91561;0;0;0
18;18;216612;120765;0;0;0
18;19;283735;158833;0;0;0
18;20;371100;208423;0;0;0
18;21;484780;272992;0;0;0
18;22;632669;357034;0;0;0
18;23;825029;466391;0;0;0
18;24;1075202;608657;0;0;0
18;25;1400532;793704;0;0;0
18;26;1823567;1034368;0;0;0
18;27;2373617;1347333;0;0;0
18;28;3088787;1754289;0;0;0
18;29;4018613;2283434;0;0;0
18;30;5227492;2971424;0;0;0
18;31;6799139;3865913;0;0;0
18;32;8842386;5028851;0;0;0
19;1;274;0;0;0;0
19;2;741;116;0;0;0
19;3;1459;371;0;0;0
19;4;2504;807;0;0;0
19;5;3973;1478;0;0;0
19;6;5994;2455;0;0;0
19;7;8732;3830;0;0;0
19;8;12403;5722;0;0;0
19;9;17286;8286;0;0;0
19;10;23745;11723;0;0;0
19;11;32253;16295;0;0;0
19;12;43425;22344;0;0;0
19;13;58059;30312;0;0;0
19;14;77194;40774;0;0;0
19;15;102181;54479;0;0;0
19;16;134775;72400;0;0;0
19;17;177258;95802;0;0;0
19;18;232597;126329;0;0;0
19;19;304648;166119;0;0;0
19;20;398426;217950;0;0;0
19;21;520448;285435;0;0;0
19;22;679188;373270;0;0;0
19;23;885660;487560;0;0;0
19;24;1154185;636241;0;0;0
19;25;1503379;829631;0;0;0
19;26;1957442;1081143;0;0;0
19;27;2547835;1408212;0;0;0
19;28;3315456;1833507;0;0;0
19;29;4313475;2386494;0;0;0
19;30;5611011;3105482;0;0;0
19;31;7297918;4040271;0;0;0
19;32;9491008;5255601;0;0;0
20;1;274;0;0;0;0
20;2;741;116;0;0;0
20;3;1459;371;0;0;0
20;4;2504;807;0;0;0
20;5;3973;1478;0;0;0
20;6;5994;2455;0;0;0
20;7;8732;3830;0;0;0
20;8;12403;5722;0;0;0
20;9;17286;8286;0;0;0
20;10;23745;11723;0;0;0
20;11;32253;16295;0;0;0
20;12;43425;22344;0;0;0
20;13;58059;30312;0;0;0
20;14;77194;40774;0;0;0
20;15;102181;54479;0;0;0
20;16;134775;72400;0;0;0
20;17;177258;95802;0;0;0
20;18;232597;126329;0;0;0
20;19;304648;166119;0;0;0
20;20;398426;217950;0;0;0
20;21;520448;285435;0;0;0
20;22;679188;373270;0;0;0
20;23;885660;487560;0;0;0
20;24;1154185;636241;0;0;0
20;25;1503379;829631;0;0;0
20;26;1957442;1081143;0;0;0
20;27;2547835;1408212;0;0;0
20;28;3315456;1833507;0;0;0
20;29;4313475;2386494;0;0;0
20;30;5611011;3105482;0;0;0
20;31;7297918;4040271;0;0;0
20;32;9491008;5255601;0;0;0
21;1;274;0;0;0;0
21;2;741;116;0;0;0
21;3;1459;371;0;0;0
21;4;2504;807;0;0;0
21;5;3973;1478;0;0;0
21;6;5994;2455;0;0;0
21;7;8732;3830;0;0;0
21;8;12403;5722;0;0;0
21;9;17286;8286;0;0;0
21;10;23745;11723;0;0;0
21;11;32253;16295;0;0;0
21;12;43425;22344;0;0;0
21;13;58059;30312;0;0;0
21;14;77194;40774;0;0;0
21;15;102181;54479;0;0;0
21;16;134775;72400;0;0;0
21;17;177258;95802;0;0;0
21;18;232597;126329;0;0;0
21;19;304648;166119;0;0;0
21;20;398426;217950;0;0;0
21;21;520448;285435;0;0;0
21;22;679188;373270;0;0;0
21;23;885660;487560;0;0;0
21;24;1154185;636241;0;0;0
21;25;1503379;829631;0;0;0
21;26;1957442;1081143;0;0;0
21;27;2547835;1408212;0;0;0
21;28;3315456;1833507;0;0;0
21;29;4313475;2386494;0;0;0
21;30;5611011;3105482;0;0;0
21;31;7297918;4040271;0;0;0
21;32;9491008;5255601;0;0;0
22;1;274;0;0;0;0
22;2;741;116;0;0;0
22;3;1459;371;0;0;0
22;4;2504;807;0;0;0
22;5;3973;1478;0;0;0
22;6;5994;2455;0;0;0
22;7;8732;3830;0;0;0
22;8;12403;5722;0;0;0
22;9;17286;8286;0;0;0
22;10;23745;11723;0;0;0
22;11;32253;16295;0;0;0
22;12;43425;22344;0;0;0
22;13;58059;30312;0;0;0
22;14;77194;40774;0;0;0
22;15;102181;54479;0;0;0
22;16;134775;72400;0;0;0
22;17;177258;95802;0;0;0
22;18;232597;126329;0;0;0
22;19;304648;166119;0;0;0
22;20;398426;217950;0;0;0
22;21;520448;285435;0;0;0
22;22;679188;373270;0;0;0
22;23;885660;487560;0;0;0
22;24;1154185;636241;0;0;0
22;25;1503379;829631;0;0;0
22;26;1957442;1081143;0;0;0
22;27;2547835;1408212;0;0;0
22;28;3315456;1833507;0;0;0
22;29;4313475;2386494;0;0;0
22;30;5611011;3105482;0;0;0
22;31;7297918;4040271;0;0;0
22;32;9491008;5255601;0;0;0
23;1;63;0;0;0;0
23;2;185;0;0;0;0
23;3;377;0;0;0;0
23;4;651;0;0;0;0
23;5;1023;0;0;0;0
23;6;1509;0;0;0;0
23;7;2129;0;0;0;0
23;8;2906;359;0;0;0
23;9;3868;803;0;0;0
23;10;5046;1349;0;0;0
23;11;6478;2018;0;0;0
23;12;8208;2834;0;0;0
23;13;10286;3827;0;0;0
23;14;12772;5032;0;0;0
23;15;15736;6491;0;0;0
23;16;19260;8256;0;0;0
23;17;23438;10387;0;0;0
23;18;28383;12958;0;0;0
23;19;34224;16056;0;0;0
23;20;41114;19787;0;0;0
23;21;49231;24278;0;0;0
23;22;58782;29680;0;0;0
23;23;70011;36176;0;0;0
23;24;83201;43985;0;0;0
23;25;98685;53369;0;0;0
23;26;116850;64644;0;0;0
23;27;138149;78187;0;0;0
23;28;163112;94452;0;0;0
23;29;192357;113983;0;0;0
23;30;226606;137434;0;0;0
23;31;266702;165588;0;0;0
23;32;313632;199387;0;0;0
24;1;185;106;0;0;0
24;2;476;266;0;0;0
24;3;889;488;0;0;0
24;4;1444;783;0;0;0
24;5;2164;1162;0;0;0
24;6;3075;1637;0;0;0
24;7;4208;2224;0;0;0
24;8;5598;2940;0;0;0
24;9;7287;3805;0;0;0
24;10;9322;4841;0;0;0
24;11;11759;6074;0;0;0
24;12;14661;7534;0;0;0
24;13;18104;9256;0;0;0
24;14;22174;11279;0;0;0
24;15;26971;13648;0;0;0
24;16;32611;16415;0;0;0
24;17;39230;19641;0;0;0
24;18;46984;23394;0;0;0
24;19;56054;27753;0;0;0
24;20;66652;32809;0;0;0
24;21;79021;38666;0;0;0
24;22;93445;45444;0;0;0
24;23;110253;53280;0;0;0
24;24;129826;62332;0;0;0
24;25;152607;72781;0;0;0
24;26;179109;84836;0;0;0
24;27;209927;98735;0;0;0
24;28;245752;114752;0;0;0
24;29;287385;133203;0;0;0
24;30;335756;154449;0;0;0
24;31;391942;178904;0;0;0
24;32;457194;207045;0;0;0
25;1;119;0;0;0;0
25;2;307;35;0;0;0
25;3;576;131;0;0;0
25;4;938;298;0;0;0
25;5;1409;547;0;0;0
25;6;2006;892;0;0;0
25;7;2748;1347;0;0;0
25;8;3660;1931;0;0;0
25;9;4768;2664;0;0;0
25;10;6103;3569;0;0;0
25;11;7703;4675;0;0;0
25;12;9609;6013;0;0;0
25;13;11870;7621;0;0;0
25;14;14543;9542;0;0;0
25;15;17695;11825;0;0;0
25;16;21401;14529;0;0;0
25;17;25751;17721;0;0;0
25;18;30847;21480;0;0;0
25;19;36809;25896;0;0;0
25;20;43775;31074;0;0;0
25;21;51906;37136;0;0;0
25;22;61388;44223;0;0;0
25;23;72438;52499;0;0;0
25;24;85306;62155;0;0;0
25;25;100284;73412;0;0;0
25;26;117708;86525;0;0;0
25;27;137971;101792;0;0;0
25;28;161526;119557;0;0;0
25;29;188900;140220;0;0;0
25;30;220705;164245;0;0;0
25;31;257649;192169;0;0;0
25;32;300554;224617;0;0;0
26;1;339;123;0;0;0
26;2;762;321;0;0;0
26;3;1282;606;0;0;0
26;4;1913;993;0;0;0
26;5;2671;1497;0;0;0
26;6;3576;2137;0;0;0
26;7;4650;2935;0;0;0
26;8;5919;3916;0;0;0
26;9;7411;5110;0;0;0
26;10;9160;6550;0;0;0
26;11;11205;8276;0;0;0
26;12;13589;10334;0;0;0
26;13;16364;12777;0;0;0
26;14;19589;15666;0;0;0
26;15;23330;19073;0;0;0
26;16;27666;23081;0;0;0
26;17;32685;27786;0;0;0
26;18;38490;33299;0;0;0
26;19;45199;39749;0;0;0
26;20;52948;47287;0;0;0
26;21;61892;56087;0;0;0
26;22;72211;66350;0;0;0
26;23;84111;78311;0;0;0
26;24;97829;92241;0;0;0
26;25;113638;108455;0;0;0
26;26;131852;127319;0;0;0
26;27;152831;149257;0;0;0
26;28;176990;174760;0;0;0
26;29;204806;204399;0;0;0
26;30;236827;238836;0;0;0
26;31;273685;278838;0;0;0
26;32;316104;325296;0;0;0
27;1;273;135;0;0;0
27;2;626;347;0;0;0
27;3;1071;649;0;0;0
27;4;1622;1054;0;0;0
27;5;2295;1580;0;0;0
27;6;3108;2245;0;0;0
27;7;4082;3072;0;0;0
27;8;5241;4087;0;0;0
27;9;6614;5320;0;0;0
27;10;8232;6806;0;0;0
27;11;10131;8585;0;0;0
27;12;12354;10705;0;0;0
27;13;14950;13219;0;0;0
27;14;17975;16191;0;0;0
27;15;21492;19694;0;0;0
27;16;25576;23813;0;0;0
27;17;30312;28647;0;0;0
27;18;35798;34309;0;0;0
27;19;42145;40933;0;0;0
27;20;49484;48672;0;0;0
27;21;57963;57705;0;0;0
27;22;67753;68239;0;0;0
27;23;79050;80514;0;0;0
27;24;92081;94808;0;0;0
27;25;107106;111445;0;0;0
27;26;124424;130799;0;0;0
27;27;144379;153306;0;0;0
27;28;167366;179469;0;0;0
27;29;193840;209874;0;0;0
27;30;224324;245199;0;0;0
27;31;259420;286232;0;0;0
27;32;299820;333885;0;0;0
28;1;216;0;173;0;0
28;2;444;0;363;0;0
28;3;777;0;653;0;0
28;4;1242;0;1076;0;0
28;5;1840;0;1643;0;0
28;6;2600;0;2395;0;0
28;7;3558;0;3384;0;0
28;8;4755;0;4674;0;0
28;9;6187;0;6284;0;0
28;10;7960;0;8364;0;0
