building_type,reference_building,level,resource,csv_implied_upgrade_cost,reference_upgrade_cost,reference
22,stonemason,29,marble,552987,552986,upgrade_watcher_2
22,stonemason,31,wood,1686907,1686906,upgrade_watcher_2
22,stonemason,32,wood,2193090,2193089,upgrade_watcher_2
23,carpentering,3,wood,192,191,upgrade_watcher_2
23,carpentering,19,marble,3098,3097,upgrade_watcher_2
23,carpentering,21,marble,4491,4490,upgrade_watcher_2
23,carpentering,22,wood,9551,9550,upgrade_watcher_2
23,carpentering,25,marble,9384,9383,upgrade_watcher_2
23,carpentering,26,wood,18165,18166,upgrade_watcher_2
23,carpentering,26,marble,11275,11274,upgrade_watcher_2
23,carpentering,30,wood,34249,34247,upgrade_watcher_2
23,carpentering,30,marble,23451,23450,upgrade_watcher_2
23,carpentering,32,marble,33799,33798,upgrade_watcher_2
24,architect,17,wood,6619,6618,upgrade_watcher_2
24,architect,18,marble,3753,3752,upgrade_watcher_2
24,architect,19,marble,4359,4358,upgrade_watcher_2
24,architect,23,wood,16808,16807,upgrade_watcher_2
24,architect,25,wood,22781,22780,upgrade_watcher_2
24,architect,25,marble,10449,10448,upgrade_watcher_2
24,architect,26,wood,26502,26501,upgrade_watcher_2
24,architect,26,marble,12055,12054,upgrade_watcher_2
24,architect,27,wood,30818,30817,upgrade_watcher_2
24,architect,28,wood,35825,35826,upgrade_watcher_2
24,architect,28,marble,16017,16289,upgrade_watcher_2
24,architect,29,wood,41633,41631,upgrade_watcher_2
24,architect,29,marble,18451,18450,upgrade_watcher_2
24,architect,31,wood,56186,56185,upgrade_watcher_2
24,architect,32,wood,65252,65251,upgrade_watcher_2
25,optician,17,wood,4350,4348,upgrade_watcher_2
25,optician,17,marble,3192,3191,upgrade_watcher_2
25,optician,27,wood,20263,20262,upgrade_watcher_2
25,optician,28,wood,23555,23553,upgrade_watcher_2
25,optician,28,marble,17765,17762,upgrade_watcher_2
25,optician,29,wood,27374,27373,upgrade_watcher_2
25,optician,29,marble,20663,20662,upgrade_watcher_2
25,optician,30,wood,31805,31804,upgrade_watcher_2
25,optician,30,marble,24025,24024,upgrade_watcher_2
25,optician,31,wood,36944,36943,upgrade_watcher_2
25,optician,31,marble,27924,27922,upgrade_watcher_2
25,optician,32,wood,42905,42904,upgrade_watcher_2
25,optician,32,marble,32448,32447,upgrade_watcher_2
26,vineyard,18,wood,5805,5813,upgrade_watcher_2
26,vineyard,19,wood,6709,6875,upgrade_watcher_2
26,vineyard,20,wood,7749,7941,upgrade_watcher_2
26,vineyard,20,marble,7538,7537,upgrade_watcher_2
26,vineyard,26,wood,18214,18215,upgrade_watcher_2
26,vineyard,27,wood,20979,20978,upgrade_watcher_2
26,vineyard,31,wood,36858,36857,upgrade_watcher_2
26,vineyard,32,marble,46458,46457,upgrade_watcher_2
27,fireworker,18,wood,5486,5485,upgrade_watcher_2
27,fireworker,19,wood,6347,6346,upgrade_watcher_2
27,fireworker,19,marble,6624,6623,upgrade_watcher_2
27,fireworker,20,wood,7339,7338,upgrade_watcher_2
27,fireworker,20,marble,7739,7738,upgrade_watcher_2
27,fireworker,21,wood,8479,8478,upgrade_watcher_2
27,fireworker,21,marble,9033,9032,upgrade_watcher_2
27,fireworker,24,wood,13031,13030,upgrade_watcher_2
27,fireworker,24,marble,14294,13355,upgrade_watcher_2
27,fireworker,25,wood,15025,14990,upgrade_watcher_2
27,fireworker,25,marble,16637,16636,upgrade_watcher_2
27,fireworker,26,wood,17318,17317,upgrade_watcher_2
27,fireworker,27,wood,19955,19954,upgrade_watcher_2
27,fireworker,28,wood,22987,22986,upgrade_watcher_2
27,fireworker,29,wood,26474,26472,upgrade_watcher_2
27,fireworker,29,marble,30405,30404,upgrade_watcher_2
27,fireworker,32,wood,40400,40399,upgrade_watcher_2
27,fireworker,32,marble,47653,47652,upgrade_watcher_2
28,temple,25,wood,23186,23156,upgrade_watcher_2
29,dump,4,marble,2051,2050,upgrade_watcher_2
29,dump,5,sulfur,2858,2857,upgrade_watcher_2
29,dump,21,wood,96224,96223,upgrade_watcher_2
29,dump,21,marble,64279,64278,upgrade_watcher_2
29,dump,21,sulfur,86410,86409,upgrade_watcher_2
29,dump,22,wood,115853,115852,upgrade_watcher_2
29,dump,22,marble,76195,76194,upgrade_watcher_2
29,dump,22,crystal,68930,68929,upgrade_watcher_2
29,dump,23,wood,139408,139407,upgrade_watcher_2
29,dump,23,crystal,80974,80973,upgrade_watcher_2
29,dump,23,sulfur,125275,125274,upgrade_watcher_2
29,dump,24,wood,167673,167672,upgrade_watcher_2
29,dump,24,crystal,95066,95065,upgrade_watcher_2
29,dump,25,marble,126425,126424,upgrade_watcher_2
29,dump,25,crystal,111554,111553,upgrade_watcher_2
29,dump,26,wood,242294,242293,upgrade_watcher_2
29,dump,26,crystal,130844,130843,upgrade_watcher_2
29,dump,26,sulfur,217873,217872,upgrade_watcher_2
29,dump,27,wood,291137,291136,upgrade_watcher_2
29,dump,27,marble,176788,176787,upgrade_watcher_2
29,dump,27,sulfur,261831,261830,upgrade_watcher_2
29,dump,28,sulfur,314582,314581,upgrade_watcher_2
29,dump,29,wood,420082,420081,upgrade_watcher_2
29,dump,29,crystal,201717,201716,upgrade_watcher_2
29,dump,29,sulfur,377882,377881,upgrade_watcher_2
29,dump,30,marble,291703,291702,upgrade_watcher_2
29,dump,30,crystal,246865,246864,upgrade_watcher_2
29,dump,30,sulfur,453843,453842,upgrade_watcher_2
29,dump,31,crystal,289158,289157,upgrade_watcher_2
29,dump,31,sulfur,544995,544994,upgrade_watcher_2
29,dump,33,wood,873144,873143,upgrade_watcher_2
29,dump,33,crystal,396537,396536,upgrade_watcher_2
29,dump,33,sulfur,785638,785637,upgrade_watcher_2
29,dump,34,crystal,464275,464274,upgrade_watcher_2
29,dump,35,wood,1258172,1258171,upgrade_watcher_2
29,dump,35,marble,669818,669817,upgrade_watcher_2
29,dump,36,marble,790731,790730,upgrade_watcher_2
29,dump,36,crystal,636254,636253,upgrade_watcher_2
29,dump,36,sulfur,1358980,1358979,upgrade_watcher_2
29,dump,37,marble,933409,933408,upgrade_watcher_2
29,dump,37,crystal,744743,744742,upgrade_watcher_2
29,dump,37,sulfur,1631160,1631159,upgrade_watcher_2
29,dump,38,marble,1101768,1101767,upgrade_watcher_2
29,dump,38,sulfur,1957775,1957774,upgrade_watcher_2
29,dump,39,marble,1300432,1300431,upgrade_watcher_2
29,dump,39,crystal,1020188,1020187,upgrade_watcher_2
29,dump,39,sulfur,2349715,2349714,upgrade_watcher_2
29,dump,40,wood,3133593,3133592,upgrade_watcher_2
29,dump,40,crystal,1193946,1193945,upgrade_watcher_2
5,shipyard,1,wood,105,98,developer_tools
6,barracks,1,wood,49,48,developer_tools
15,workshop,1,wood,220,206,developer_tools
15,workshop,1,marble,95,89,developer_tools
27,fireworker,1,wood,273,272,developer_tools
